,Title,Price,Specs,Link
17, Artline Business M62 v03 White , 8 599   ₴ ,"Экран 23.8"" IPS (1920x1080) Full HD / AMD Quad-Core E2-7110 (1.8 ГГц) / RAM 8 ГБ / SSD 240 ГБ / AMD Radeon R2 / без ОД / LAN / Wi-Fi / без ОС / 7 кг / белый",https://hard.rozetka.com.ua/artline_m62_v03/p146179070/
18, Artline Gaming X38 v15 (X38v15) , 14 999   ₴ ,"Intel Core i3-9100F (3.6 - 4.2 ГГц) / RAM 16 ГБ / HDD 1 ТБ + SSD 240 ГБ / AMD Radeon RX 580, 8 ГБ / без ОД / LAN / без ОС",http://hard.rozetka.com.ua/artline_x38v15/p142959581/
19, Dell Vostro 3470 SFF (N203VD3470BTPEDB03_1905_UBU-08) , 8 099   ₴ ,Intel Core i3-8100 (3.6 ГГц) / RAM 4 ГБ / SSD 128 ГБ / Intel UHD Graphics 630 / DVD+/-RW / LAN / Wi-Fi / Bluetooth / кардридер / Linux / клавиатура + мышь,http://hard.rozetka.com.ua/dell_n203vd3470btpedb03_1905_ubu_08/p163578409/
20, Artline Gaming X51 v07 (X51v07) , 19 099   ₴ ,"Intel Core i5-9400F (2.9 - 4.1 ГГц) / RAM 16 ГБ / HDD 1 ТБ + SSD 240 ГБ / nVidia GeForce GTX 1660, 6 ГБ / без ОД / LAN / без ОС",http://hard.rozetka.com.ua/artline_x51v07/p76670004/
21, HP AiO 22-c0125ur (7KD53EA) White , 10 777   ₴ ,"Экран 21.5"" IPS (1920x1080) Full HD / Intel Pentium J5005 (1.5 - 2.8 ГГц) / RAM 4 ГБ / SSD 128 ГБ / Intel UHD Graphics 600 / без ОД / LAN / Wi-Fi / Bluetooth / кардридер / веб-камера / Windows 10 Home / 5.39 кг / белый / клавиатура + мышь",https://hard.rozetka.com.ua/hp_22_7kd53ea/p178042607/
22, ARTLINE Gaming X48 v04 (X48v04) , 17 777   ₴ ,"AMD Ryzen 5 2600 (3.4 - 3.9 ГГц) / RAM 16 ГБ / HDD 1 ТБ + SSD 240 ГБ / AMD Radeon RX580, 8 ГБ / без ОД / LAN / без ОС",http://hard.rozetka.com.ua/artline_x48v04/p52702656/
23, Everest Home 4080 (4080_7603) , 13 888   ₴ ,"Intel Core i5-9400F (2.9 - 4.1 ГГц) / RAM 8 ГБ / HDD 1 ТБ / nVidia GeForce GTX 1050 Ti, 4 ГБ / без ОД / LAN / без ОС",https://hard.rozetka.com.ua/everest_4080_7603/p72114711/
24, HP AiO 22-c0108ur (6PX67EA) White , 9 599   ₴ ,"Экран 21.5"" IPS (1920x1080) Full HD / Intel Pentium J5005 (1.5 - 2.8 ГГц) / RAM 4 ГБ / SSD 128 ГБ / Intel UHD Graphics 600 / без ОД / LAN / Wi-Fi / Bluetooth / кардридер / веб-камера / DOS / 5.39 кг / белый / клавиатура + мышь",http://hard.rozetka.com.ua/hp_22_6px67ea/p178041977/
25, Everest Home 4080 (4080_7610) , 15 777   ₴ ,"Intel Core i5-9400F (2.9 - 4.1 ГГц) / RAM 16 ГБ / HDD 2 ТБ + SSD 240 ГБ / nVidia GeForce GTX 1050 Ti, 4 ГБ / без ОД / LAN / без ОС",https://hard.rozetka.com.ua/everest_4080_7610/p72114753/
26, Artline Gaming X46 v31 (X46v31) , 16 999   ₴ ,"AMD Ryzen 5 3500 (3.6 - 4.1 ГГц) / RAM 16 ГБ / HDD 1 ТБ + SSD 240 ГБ / AMD Radeon RX580, 8 ГБ / без ОД / LAN / без ОС",http://hard.rozetka.com.ua/artline_x46v31/p134963996/
